id;text;is_correct;gearsurveyquestion_id
100;Parcialmente, y cuenta con las evidencias:;FALSE;26
101;No;FALSE;26
102;No tiene conocimiento;FALSE;26
103;Si, y cuenta con las evidencias:;FALSE;27
104;Parcialmente, y cuenta con las evidencias:;FALSE;27
105;No;FALSE;27
106;No tiene conocimiento19;FALSE;27
107;La información del direccionamiento y la planeación estratégica de la entidad;FALSE;28
108;La normatividad aplicable a la gestión del talento humano;FALSE;28
109;Los actos administrativos de creación o modificación de planta de personal;FALSE;28
110;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;28
111;Ninguna de las anteriores;FALSE;28
112;Si, y cuenta con las evidencias:;FALSE;29
113;Parcialmente, y cuenta con las evidencias:;FALSE;29
114;No;FALSE;29
115;Inducción y reinducción;FALSE;30
116;Capacitación;FALSE;30
117;Bienestar;FALSE;30
118;Incentivos;FALSE;30
119;Provisión de empleos vacantes;FALSE;30
120;Estrategias para la vinculación de integrantes de grupos étnicos;FALSE;30
121;Situaciones de discapacidad de los servidores;FALSE;30
122;Seguridad y salud en el trabajo;FALSE;30
123;Evaluación de desempeño;FALSE;30
124;Promoción y apropiación de la integridad en el ejercicio de las funciones de los servidores;FALSE;30
125;Clima organizacional;FALSE;30
126;Actualización de la información en el SIGEP;FALSE;30
127;Programa de desvinculación asistida para pensionados;FALSE;30
128;Programa de desvinculación asistida por otras causales;FALSE;30
129;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;30
130;Ninguno de los anteriores;FALSE;30
131;Parcialmente, y cuenta con las evidencias:;FALSE;31
132;No;FALSE;31
133;Si;FALSE;31
134;Parcialmente, y cuenta con las evidencias:;FALSE;32
135;No;FALSE;32
136;Si;FALSE;32
137;Cuenta con la identificación clara del número de empleos, el nivel al que pertenece (directivo, asesor, profesional, asistencial u otro), su denominación, su código y grado salarial, con base en el Sistema de Nomenclatura y Clasificación de Empleos que le aplica;FALSE;33
138;Establece los empleos suficientes para cumplir con los planes y proyectos;FALSE;33
139;Define los perfiles de los empleos teniendo en cuenta la misión, los planes, programas y proyectos;FALSE;33
140;Contempla los niveles jerárquicos ajustados a la estructura organizacional para una fácil asignación de;FALSE;33
141;responsabilidades;FALSE;33
142;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;33
143;Ninguna de las anteriores;FALSE;33
144;La identificación del empleo de acuerdo con la planta de personal de la entidad (denominación, código y grado salarial);FALSE;34
145;Las profesiones, artes u oficios que responden al desempeño de las funciones del empleo;FALSE;34
146;La experiencia específica o relacionada que responda al desempeño de las funciones del empleo;FALSE;34
147;Las competencias comportamentales requeridas para el desempeño de las funciones del empleo;FALSE;34
148;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;34
149;Ninguna de las anteriores;FALSE;34
150;Si, y cuenta con las evidencias:;FALSE;35
151;Está en proceso de ajuste;FALSE;35
152;No;FALSE;35
153;No se tenía conocimiento de la norma;FALSE;35
154;Si, y cuenta con las evidencias:;FALSE;36
155;No;FALSE;36
156;No, porque no se han creado nuevos empleos en la planta de personal;FALSE;36
157;Aprobados por norma:;FALSE;37
158;Aprobados por asignación presupuestal:;FALSE;37
159;Total:;FALSE;37
160;Del 0% al 20%;FALSE;38
161;Del 21% al 40%;FALSE;38
162;Del 41% al 60%;FALSE;38
163;Del 61% al 80%;FALSE;38
164;Del 81% al 100%;FALSE;38
165;Baja conectividad a internet;FALSE;39
166;Personal insuficiente;FALSE;39
167;Sobrecarga laboral;FALSE;39
168;No existen actos administrativos para sustentar la información (escala salarial, estructura administrativa y planta de personal);FALSE;39
169;Falta de asistencia técnica;FALSE;39
170;Dificultades técnicas del SIGEP (problemas de acceso, asignación de roles, fallas del sistema);FALSE;39
171;No están enterados de la existencia del SIGEP;FALSE;39
172;Otra. ¿Cuál?;FALSE;39
173;Carrera administrativa:;FALSE;40
174;Libre nombramiento y remoción:;FALSE;40
175;Total:;FALSE;40
176;Verifica en la planta de personal que existan servidores de carrera que puedan ocupar dichos empleos en encargo o comisión;FALSE;41
177;Verifica que los candidatos cumplan con los requisitos del empleo;FALSE;41
178;Aplica las pruebas necesarias para garantizar la idoneidad de los candidatos;FALSE;41
179;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;41
180;Ninguna de las anteriores;FALSE;41
181;Grupo de meritocracia de Función Pública;FALSE;42
182;Empresas privadas de selección y reclutamiento de personal o cazatalentos (head-hunters);FALSE;42
183;Universidades;FALSE;42
184;Área de talento humano de la entidad;FALSE;42
185;No emplea ningún mecanismo;FALSE;42
186;Asesor:;FALSE;43
187;Profesional:;FALSE;43
188;Técnico:;FALSE;43
189;Asistencial:;FALSE;43
190;Otros:;FALSE;43
191;Total:;FALSE;43
192;Asesor:;FALSE;44
193;Profesional:;FALSE;44
194;Técnico:;FALSE;44
195;Asistencial:;FALSE;44
196;Otros:;FALSE;44
197;Total:;FALSE;44
198;Sí. Indique el número total de vacantes reportadas a la OPEC:;FALSE;45
199;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;45
200;No ha reportado;FALSE;45
201;Asesor:;FALSE;46
202;Profesional:;FALSE;46
203;Técnico:;FALSE;46
204;Asistencial:;FALSE;46
205;Otros:;FALSE;46
206;Total:;FALSE;46
207;Cargos de libre nombramiento y remoción:;FALSE;47
208;Provisionales:;FALSE;47
209;Planta temporal:;FALSE;47
210;Total:;FALSE;47
211;En el primer mes contado a partir de la posesión;FALSE;48
212;En los primeros dos meses contados a partir de la posesión;FALSE;48
213;En los primeros cuatro meses contados a partir de la posesión;FALSE;48
214;Después de 4 meses contados a partir de la posesión;FALSE;48
215;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;48
216;No se realiza inducción a servidores nuevos;FALSE;48
217;Total cargos de gerencia:;FALSE;49
218;No tiene cargos de gerencia;FALSE;49
219;Número total de acuerdos de gestión suscritos:;FALSE;50
220;Número total de acuerdos de gestión evaluados:;FALSE;50
221;Virtual;FALSE;51
222;Presencial con la ESAP;FALSE;51
223;Directamente en la entidad;FALSE;51
224;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;51
225;No hace inducción a gerentes públicos;FALSE;51
226;Asesor:;FALSE;52
227;Profesional:;FALSE;52
228;Técnico:;FALSE;52
229;Asistencial:;FALSE;52
230;Total:;FALSE;52
231;Si, y cuenta con las evidencias:;FALSE;53
232;Parcialmente, y cuenta con las evidencias:;FALSE;53
233;No se hace esta medición;FALSE;53
234;Las metas de la entidad no tienen relación directa con la evaluación del desempeño y los acuerdos de gestión;FALSE;53
235;Cada año;FALSE;54
236;Cada 2 años;FALSE;54
237;Con periodicidad superior a 2 años;FALSE;54
238;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;54
239;No se hacer reinducción a los servidores;FALSE;54
240;Si, y cuenta con las evidencias:;FALSE;55
241;No, porque no se cuenta con recursos para capacitación y cuenta con las evidencias;FALSE;55
242;No, porque no se priorizaron las necesidades identificadas;FALSE;55
243;No, porque no se ha hecho un diagnóstico de necesidades de capacitación;FALSE;55
244;Participación ciudadana, rendición de cuentas y control social;FALSE;56
245;El código de integridad, con el fin de guiar el actuar de los servidores públicos;FALSE;56
246;Transparencia y derecho de acceso a la información pública;FALSE;56
247;Política de servicio al ciudadano;FALSE;56
248;Temas de archivo y gestión documental;FALSE;56
249;Seguridad digital;FALSE;56
250;Otros;FALSE;56
251;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;56
252;Ninguno de los anteriores;FALSE;56
253;Gobernanza para la paz;FALSE;57
254;Gestión del conocimiento;FALSE;57
255;Creación de valor público;FALSE;57
256;No ha implementado ninguno de estos ejes;FALSE;57
257;No tiene conocimiento;FALSE;57
258;Implementó mejoras con base en los resultados y cuenta con las evidencias;FALSE;58
259;No se han realizado mediciones del clima organizacional en los últimos dos años;FALSE;58
260;¿Cuántos practicantes se vincularon bajo el programa de Estado Joven en la vigencia evaluada?;FALSE;59
261;¿Cuántos servidores se beneficiaron del programa (Servimos) en la vigencia evaluada?;FALSE;59
262;¿Cuántos servidores participaron del programa de Bilingüismo en la vigencia evaluada?;FALSE;59
263;¿Cuántos servidores se beneficiaron de la estrategia de horarios flexibles en la vigencia evaluada?;FALSE;59
264;¿Cuántos servidores se beneficiaron de la estrategia de teletrabajo en la vigencia evaluada?;FALSE;59
265;¿Cuántos servidores se beneficiaron de la estrategia de Entorno Laboral Saludable en la vigencia evaluada?;FALSE;59
266;Identifica y documenta las razones del retiro;FALSE;60
267;Analiza las causas del retiro y las tiene en cuenta para mejorar la gestión del talento humano;FALSE;60
268;Propicia o promueve condiciones para la adecuación a su nueva etapa de vida;FALSE;60
269;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;60
270;Ninguna de las anteriores;FALSE;60
271;Son suficientes y adecuados;FALSE;61
272;Garantizan que quien ejecuta una actividad conoce su propósito y contribución al cumplimiento de los objetivos institucionales;FALSE;61
273;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;61
274;No existen mecanismos para transferir el conocimiento;FALSE;61
275;Está documentado;FALSE;62
276;Tiene un responsable o área encargada;FALSE;62
277;Permite acciones pedagógicas para su apropiación;FALSE;62
278;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;62
279;Ninguna de las anteriores;FALSE;62
280;Si, y cuenta con las evidencias:;FALSE;63
281;Parcialmente, y cuenta con las evidencias:;FALSE;63
282;No;FALSE;63
283;No conoce el Código de Integridad;FALSE;63
284;El análisis de la apropiación del Código por parte de los servidores;FALSE;64
285;Las recomendaciones y/o sugerencias por parte de los servidores;FALSE;64
286;Otra. ¿Cuál?;FALSE;64
287;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;64
288;Ninguna de las anteriores;FALSE;64
289;Si, y cuenta con las evidencias:;FALSE;65
290;Parcialmente, y cuenta con las evidencias:;FALSE;65
291;No;FALSE;65
292;No tiene conocimiento;FALSE;65
293;Si, y cuenta con las evidencias:;FALSE;66
294;Parcialmente, y cuenta con las evidencias:;FALSE;66
295;No;FALSE;66
296;No tiene conocimiento;FALSE;66
297;Si, y cuenta con las evidencias:;FALSE;67
298;Parcialmente, y cuenta con las evidencias:;FALSE;67
299;No;FALSE;67
300;El trabajo por procesos;FALSE;69
301;La toma de decisiones oportuna;FALSE;69
302;El flujo de la información interna;FALSE;69
303;Claridad en la asignación de responsabilidades;FALSE;69
304;Ninguna de las anteriores;FALSE;69
305;Se diseñó en función de las necesidades de los grupos de valor y con el fin de contribuir al logro de los resultados de la organización;FALSE;70
306;Le permite generar oportunamente bienes y servicios para resolver las necesidades de los grupos de valor;FALSE;70
307;Se adapta a las contingencias que se puedan presentar en la ejecución de la planeación institucional;FALSE;70
308;No se ha diseñado;FALSE;70
309;Objetivo;FALSE;71
310;Alcance;FALSE;71
311;Responsables;FALSE;71
312;Actividades;FALSE;71
313;Indicadores;FALSE;71
314;Riesgos;FALSE;71
315;Controles;FALSE;71
316;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;71
317;Ninguna de las anteriores;FALSE;71
318;Si, y cuenta con las evidencias:;FALSE;72
319;Parcialmente, y cuenta con las evidencias:;FALSE;72
320;No;FALSE;72
321;Sugerencias, expectativas, quejas, peticiones, reclamos o denuncias por parte de la ciudadanía;FALSE;73
322;Sugerencias por parte de los servidores;FALSE;73
323;Resultados de los espacios de participación y/o rendición de cuentas con ciudadanos;FALSE;73
324;Análisis de las necesidades y prioridades en la prestación del servicio;FALSE;73
325;Análisis de costo-beneficio de los procesos;FALSE;73
326;Los resultados de la gestión institucional;FALSE;73
327;Seguimiento a los indicadores de gestión;FALSE;73
328;Implementación y monitoreo de los controles a los riesgos;FALSE;73
329;Ninguno de los anteriores;FALSE;73
330;Permiten responder adecuadamente a los planes, programa, proyectos, y metas definidas por la entidad;FALSE;74
331;Tienen correspondencia con el Plan Anual de Adquisiciones y Servicios, definido en la planeación institucional;FALSE;74
332;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;74
333;Ninguna de las anteriores;FALSE;74
334;Dispone de espacios de trabajo adecuados a las necesidades de los diferentes procesos y áreas de trabajo de la organización;FALSE;75
335;Elabora planes para la adecuación y mantenimiento de los edificios, sedes y espacios físicos;FALSE;75
336;Dispone de bienes, por ejemplo, impresoras, las salas de reuniones adecuados a las necesidades de los diferentes procesos y áreas de trabajo;FALSE;75
337;Cuenta con un sistema o mecanismo de mantenimiento, tanto preventivo como correctivo, para los;FALSE;75
338;bienes que así lo requieren;FALSE;75
339;Para los bienes con periodos de obsolescencia y renovación, hace un uso eficiente de los mismos;FALSE;75
340;Ha adoptado acciones para optimizar el consumo de bienes y servicios, la gestión de residuos, reciclaje y ahorro de agua y energía;FALSE;75
341;Ha adoptado acciones o planes para optimizar el uso de vehículos institucionales;FALSE;75
342;Ninguna de las anteriores;FALSE;75
343;Si, y cuenta con las evidencias:;FALSE;76
344;No;FALSE;76
345;Son verificados de acuerdo a las especificaciones técnicas requeridas;FALSE;77
346;Se ingresan de manera inmediata a los inventarios de la entidad, cuando estos tienen el carácter de devolutivos;FALSE;77
347;Se identifican (plaquetean) antes de entregarse al servicio;FALSE;77
348;Se reportan a la compañía de seguros para su ingreso a la póliza de la entidad;FALSE;77
349;Se entregan al área que lo requirió, asignándole un responsable en el inventario;FALSE;77
350;No realiza ninguna acción;FALSE;77
351;Cuenta y aplica un procedimiento para darlos de baja de sus inventarios;FALSE;78
352;Se hace su disposición final sin que se genere afectación al medio ambiente;FALSE;78
353;Se actualizan los inventarios teniendo en cuenta la baja de los bienes;FALSE;78
354;No realiza ninguna acción;FALSE;78
355;Si, y cuenta con las evidencias:;FALSE;79
356;No;FALSE;79
357;Si, y cuenta con las evidencias:;FALSE;80
358;No;FALSE;80
359;Recursos presupuestales para su ejecución;FALSE;81
360;Responsables de efectuar el mantenimiento;FALSE;81
361;Periodicidad del mantenimiento;FALSE;81
362;Fechas de ejecución del mantenimiento;FALSE;81
363;Ninguna de las anteriores;FALSE;81
364;Si, y cuenta con las evidencias:;FALSE;82
365;No;FALSE;82
366;Promueve el uso racional de los recursos naturales;FALSE;83
367;Desarrolla acciones de reciclaje;FALSE;83
368;Identifica los riesgos de contaminación ambiental;FALSE;83
369;Cuenta con política para el uso de bienes con material reciclado;FALSE;83
370;Promueve el no uso de elementos contaminantes al medio ambiente;FALSE;83
371;Adquiere bienes amigables con el medio ambiente;FALSE;83
372;No realiza ninguna acción;FALSE;83
373;¿Cuántos conjuntos de datos abiertos estratégicos fueron identificados?;FALSE;84
374;¿Cuántos de los conjuntos de datos abiertos estratégicos identificados fueron publicados en el catálogo de datos del Estado colombiano www.datos.gov.co?;FALSE;84
375;¿Cuántos de los conjuntos de datos abiertos fueron publicados, están actualizados y fueron difundidos?;FALSE;84
376;¿Cuántas aplicaciones se desarrollaron a partir de los conjuntos de datos abiertos?;FALSE;84
377;¿Cuántas publicaciones (papers, artículos, noticias, libros, etc.) hicieron uso de los conjuntos de datos abiertos?;FALSE;84
378;No tiene conocimiento del uso de los datos abiertos de la entidad;FALSE;84
379;Contenido no textual;FALSE;85
380;Información y relaciones;FALSE;85
381;Sugerencia significativa;FALSE;85
382;Características sensoriales;FALSE;85
383;Uso del color;FALSE;85
384;Teclado;FALSE;85
385;Sin trampas para el foco del teclado;FALSE;85
386;Tiempo ajustable;FALSE;85
387;Poner en pausa, detener, ocultar;FALSE;85
388;Evitar bloques;FALSE;85
389;Titulado de páginas;FALSE;85
390;Orden del foco;FALSE;85
391;Propósito de los enlaces (en contexto);FALSE;85
392;Idioma de la página;FALSE;85
393;Al recibir el foco;FALSE;85
394;Al recibir entradas;FALSE;85
395;Identificación de errores;FALSE;85
396;Etiquetas o instrucciones;FALSE;85
397;Procesamiento;FALSE;85
398;Nombre, función, valor;FALSE;85
399;Ninguno de los anteriores;FALSE;85
400;No tiene conocimiento de los criterios de accesibilidad que debe cumplir la entidad en su sitio Web;FALSE;85
401;El sitio web permite conocer la ruta recorrida por el usuario en la navegación del sitio (Ruta de migas);FALSE;86
402;Las URL generadas en los diferentes niveles de navegación no tienen variables o caracteres especiales y son fáciles de leer (URL limpios);FALSE;86
403;El diseño gráfico del sitio web se conserva en todos los sitios de navegación (Navegación global consistente);FALSE;86
404;El logo de la entidad ubicado en el encabezado, direcciona al inicio del sitio web (Vínculo a página de inicio);FALSE;86
405;El sitio web de la entidad permite el ingreso a través de diferentes navegadores como Google Chrome, Internet Explorar, Mozilla, entre otros (Independencia de navegador);FALSE;86
406;Los enlaces del sitio web indican claramente el contenido al cual conducen. No tienen textos como (ver más), (clic aquí), entre otros. (Enlaces bien formulados);FALSE;86
407;El sitio no cuenta con ventanas emergentes en ningún nivel de navegación;FALSE;86
408;El sitio web hace un uso adecuado de títulos y encabezados con sus correspondientes etiquetas HTML, por ejemplo <h1>, <h2> …;FALSE;86
409;El sitio web no tiene vínculos rotos;FALSE;86
410;Todos los contenidos del sitio web están alineados a la izquierda (Justificación del texto);FALSE;86
411;El cuerpo de texto no supera los 100 caracteres por línea (Ancho del cuerpo de texto);FALSE;86
412;En ningún contenido del sitio web existen textos subrayados para destacar, excepto si son enlaces a otros contenidos (Texto subrayado);FALSE;86
413;El sitio web no permite desplazamiento de izquierda a derecha para consultar contenidos.;FALSE;86
414;El sitio web cuenta con diferentes hojas de estilo para su correcta navegación (pantalla, móvil, impresión). En caso de que el sitio web sea responsivo sólo requiere formato de impresión;FALSE;86
415;El sitio web le indica al usuario cuando ha visitado contenidos de la página (Vínculos visitados);FALSE;86
416;Los formularios del sitio web tienen correctamente señalizados los campos obligatorios;FALSE;86
417;Es clara la correspondencia entre el título del campo en los formularios y el espacio dispuesto para el ingreso de la información;FALSE;86
418;Ejemplos en los campos de formulario;FALSE;86
419;Ninguno de los anteriores;FALSE;86
420;No tiene conocimiento sobre las directrices de usabilidad que debe cumplir la entidad en su sitio Web;FALSE;86
421;Está en proceso de construcción;FALSE;87
422;Lo formuló, pero no está actualizado;FALSE;87
423;Lo formuló, está actualizado y tiene la evidencia:;FALSE;87
424;Está aprobado por la entidad y tiene la evidencia:;FALSE;87
425;Está integrado al plan de acción institucional y publicado en la página web y tiene la evidencia:;FALSE;87
426;No lo ha formulado la entidad;FALSE;87
427;El portafolio o mapa de ruta de los proyectos;FALSE;88
428;La proyección del presupuesto;FALSE;88
429;El entendimiento estratégico;FALSE;88
430;El análisis de la situación actual;FALSE;88
431;El plan de comunicaciones del PETI;FALSE;88
432;Tablero de indicadores para el seguimiento y control;FALSE;88
433;Análisis desde cada uno de los dominios del Marco de Referencia;FALSE;88
434;Diagnóstico de Interoperabilidad;FALSE;88
435;Diagnóstico de Autenticación Electrónica;FALSE;88
436;Diagnóstico de carpeta ciudadana;FALSE;88
437;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;88
438;Ninguna de las anteriores;FALSE;88
439;Identifica las capacidades (personas, procesos y herramientas) necesarias para realizar ejercicios de arquitectura empresarial;FALSE;90
440;Hace uso de una metodología de arquitectura empresarial para el diseño y planeación de las iniciativas de;FALSE;90
441;tecnologías de información;FALSE;90
442;Desarrolló o se encuentra en ejecución de uno o más ejercicios de arquitectura empresarial;FALSE;90
443;Cuenta con un grupo de arquitectura empresarial que gobierna y toma decisiones frente al impacto o evolución de la arquitectura empresarial;FALSE;90
444;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;90
445;Ninguna de las anteriores;FALSE;90
446;Documentó la arquitectura misional o de negocio;FALSE;91
447;Tiene documentado un catálogo de servicios de TI actualizado;FALSE;91
448;Documentó la arquitectura de información;FALSE;91
449;Documentó la Arquitectura de sistemas de información;FALSE;91
450;Documentó la arquitectura de servicios tecnológicos;FALSE;91
451;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;91
452;Ninguna de las anteriores;FALSE;91
453;No tienen conocimiento sobre métodos de documentación de servicios de tecnologías de la información (TI) y arquitectura empresarial;FALSE;91
454;Políticas de TI;FALSE;92
455;Proceso de Gestión de TI claramente definido y documentado;FALSE;92
456;Instancias o grupos de decisión de TI definidas;FALSE;92
457;Estructura organizacional del área de TI;FALSE;92
458;Indicadores para medir el desempeño de la Gestión de TI;FALSE;92
459;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;92
460;No cuenta con un esquema de gobierno de TI;FALSE;92
461;Utilizó Acuerdos Marco de Precios para bienes y servicios de TI;FALSE;93
462;Utilizó mecanismos o contratos de agregación de demanda para bienes y servicios de TI;FALSE;93
463;Aplicó metodologías, casos de negocio y criterios documentados para la selección y/o evaluación de soluciones de TI;FALSE;93
464;Ninguna de las anteriores;FALSE;93
465;No tiene conocimiento sobre mecanismos de optimización de compras de tecnologías de información (TI);FALSE;93
466;Aplicó una metodología para la gestión integral de Proyectos de TI;FALSE;94
467;Garantizó que cualquier iniciativa, proyecto o plan de la entidad que incorpora TI, es liderado en conjunto entre las áreas misionales y el área de TI de la entidad;FALSE;94
468;Utiliza el principio de incorporar desde la planeación la visión de los usuarios y la atención de las necesidades de los grupos de interés;FALSE;94
469;Realiza la documentación y transferencia de conocimiento a proveedores, contratistas y/o responsables de TI, sobre los entregables o resultados de los proyectos ejecutados en la vigencia evaluada;FALSE;94
470;Ninguna de las anteriores;FALSE;94
471;No tiene conocimiento sobre gestión integral de proyectos de tecnologías de la información (TI);FALSE;94
472;Documentó el catálogo de componentes de información;FALSE;95
473;Definió un esquema de gobierno de los componentes de información;FALSE;95
474;Implementó exitosamente un esquema para el gobierno de los componentes de información;FALSE;95
475;Definió un esquema de roles y responsabilidades sobre los componentes de información;FALSE;95
476;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;95
477;Ninguna de las anteriores;FALSE;95
478;No tiene conocimiento sobre la gestión y la planeación de los componentes de información de la entidad;FALSE;95
479;Hizo la medición de la calidad de la información;FALSE;96
480;Definió y documentó un plan de calidad de la información;FALSE;96
481;Implementó exitosamente un plan de calidad de la información;FALSE;96
482;Realizó seguimiento e implementó los controles de calidad o acciones de mejora sobre los componentes de información;FALSE;96
483;Definió mecanismos o canales para el uso y aprovechamiento de la información por parte de los grupos de interés;FALSE;96
484;Fomentó el uso y aprovechamiento de los componentes de información por parte de los grupos de interés;FALSE;96
485;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;96
486;Ninguna de las anteriores;FALSE;96
